Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,20/03/2024,Support Services,"DG Decarbonisation, Technology and Strategy",UKRI - EPSRC,2000034705,#," £1,250,000.00 ",SN2 1ET
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,Manston SAR Helicopter Base,Bristow Helicopters Ltd,233134906,Monthly standing charge Lydd," £1,241,813.80 ",RH1 5JZ
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,954851,Renewals of Roads," £1,239,874.80 ",CV21 2DW
Department for Transport,Department for Transport,25/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",TRANSPORT FOR LONDON,2000035343,TfL S31 payment LEVI - #1230000," £1,230,000.00 ",SE1 8NJ
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",London Borough of Hackney,2000035350,LEVI Capital fund : LB of Hackney  90% payment," £1,224,000.00 ",E8 4RU
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AEBI SCHMIDT UK LIMITED,956929,Winter Maintenance - Assets," £1,223,751.60 ",PE2 6GP
Department for Transport,High Speed Two (HS2) Limited,07/03/2024,AUC - Phase 1,AUC - 000000,ALIGN JOINT VENTURE,#,ALIGN JV Euro payments ," £1,223,464.60 ",#
Department for Transport,Department for Transport,20/03/2024,IT Consultancy,DG Roads and Local Group,KPMG UK LLP,2000034709,#," £1,218,000.00 ",E14 5GL
Department for Transport,High Speed Two (HS2) Limited,21/03/2024,AUC - Phase 1,AUC - 000000,ALSTOM ENGINEERING AND SERVICES LIMITED,#,Manufacture and Supply Agreement for Conventional Compatible High Speed Trains ," £1,202,320.80 ",#
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,KENT COUNTY COUNCIL,2000035538,ATF4E First Intallment," £1,200,000.00 ",ME14 1QX
Department for Transport,British Transport Police,21/03/2024,Pensions Contribution,Force Balance Sheet (Excl.Far),Railway Pensions Management Ltd,571859,Pensions Contribution," £1,198,943.31 ",EC2A 2NY
Department for Transport,Department for Transport,18/03/2024,IT Ser Running Costs,DG Corporate Delivery Group,DELOITTE LLP LIMITED,2000034360,#," £1,194,163.13 ",MK9 1FD
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BAM MORGAN SINDALL JOINT VENTURE,952504,RIS 2 Schemes," £1,189,112.36 ",LS27 0NQ
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952083,RIS 1 Schemes," £1,185,086.89 ",SL6 4UB
Department for Transport,High Speed Two (HS2) Limited,20/03/2024,Engineering Services - Civil,P30062 - Systems Core,EDP JOINT VENTURE,#,EDP WP5 FY22/23 FY23/24," £1,175,633.05 ",#
Department for Transport,High Speed Two (HS2) Limited,13/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY SYSTEM OPERATOR LIMITED,#,GSP's Ickenham," £1,168,038.56 ",#
Department for Transport,Department for Transport,20/03/2024,Services prov by OGD,DG Corporate Delivery Group,CABINET OFFICE,2000034697,#," £1,166,483.16 ",FY1 9JN
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,AUC - Phase 1,AUC - 000000,LM JOINT VENTURE,#,1EW04 Uplift as per Board approval of 22/12/2020," £1,161,336.34 ",#
Department For Transport,National Highways,25/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,National Gas Transmission Plc,956140,RIS 2 Schemes," £1,154,000.00 ",CV34 6DA
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,Professional Services,P40000 - Chief Executive Officer,BAIN & COMPANY INC. UNITED KINGDOM,#,Strategic Partner," £1,145,712.00 ",#
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LUTON BOROUGH COUNCIL,2000035063,LEVI Capital fund :   Luton 90% payment," £1,145,700.00 ",LU1 2BQ
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Taylor Woodrow Infrastructure Limited,954305,Renewals of Roads," £1,128,656.98 ",WD24 4WW
Department for Transport,Department for Transport,19/03/2024,IT Consultancy,DG Roads and Local Group,KPMG UK LLP,2000034493,#," £1,128,000.00 ",E14 5GL
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,KENT COUNTY COUNCIL,2000035538,Capability Fund 24/25," £1,127,971.00 ",ME14 1QX
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,John Sisk & Son Limited,953919,Renewals of Roads," £1,117,034.42 ",AL2 2DD
Department For Transport,National Highways,04/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,SECURITY ALLIANCE LIMITED,951755,Corporate Support Services," £1,116,445.41 ",E20 3BS
Department for Transport,Driver & Vehicle Licensing Agency,11/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000030895,#," £1,112,304.86 ",SL1 4LZ
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,LIVERPOOL CITY REGION,2000035625,Capability Fund 24/25," £1,108,823.00 ",L69 3HN
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000032998,#," £1,108,438.22 ",REDACTED
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,Cambridgeshire and Peterborough,2000035633,ATF4E First Intallment," £1,100,000.00 ",PE29 3TN
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,Devon County Council,2000035532,ATF4E First Intallment," £1,100,000.00 ",EX2 4QD
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033055,#," £1,098,697.57 ",REDACTED
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033044,#," £1,095,196.53 ",REDACTED
Department For Transport,National Highways,22/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,SHEPPEY ROUTE LTD,955765,Operate Roads PFI Management Cost," £1,094,317.59 ",EC4N 6AF
Department For Transport,National Highways,21/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,TARMAC TRADING LIMITED,955473,Renewals of Roads," £1,093,929.55 ",B37 7BQ
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,Essex County Council,2000035534,Capability Fund 24/25," £1,076,397.00 ",CM1 1QH
Department for Transport,Department for Transport,04/03/2024,Support Services,"DG Decarbonisation, Technology and Strategy",DRIVER & VEHICLE STANDARDS AGENCY,2000032740,#," £1,076,384.00 ",NG1 6LP
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,Inverness SAR Helicopter Base,Bristow Helicopters Ltd,233134907,Monthly standing charge Inverness," £1,074,528.67 ",RH1 5JZ
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,St Athan SAR Helicopter Base,Bristow Helicopters Ltd,233134909,Monthly standing charge St Athan," £1,073,951.18 ",RH1 5JZ
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",London Borough of Hammersmith & Ful,2000035018,LBHF 21-22 P2 25% ORCS payment," £1,054,687.50 ",W6 9JU
Department for Transport,High Speed Two (HS2) Limited,05/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,C1000_3634 - Duddeston Junction Phase One Works - Stage 2 Remit," £1,051,080.00 ",#
Department for Transport,British Transport Police,21/03/2024,Pensions Contribution,Force Balance Sheet (Excl.Far),Railway Pensions Management Ltd,571858,Pensions Contribution," £1,047,438.91 ",EC2A 2NY
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,NORFOLK COUNTY COUNCIL,2000035547,ATF4E First Intallment," £1,045,000.00 ",NR1 2UG
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Cornwall Council,2000035959,ZEBRA 2," £1,039,751.00 ",TR14 8SX
Department for Transport,Driver & Vehicle Licensing Agency,26/03/2024,Post Office Charges,Finance & Commercial,POST OFFICE LTD,2000034492,#," £1,027,196.26 ",S49 1PF
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,BALFOUR BEATTY CIVIL ENGINEERING LTD,953577,Other Capital," £1,016,180.67 ",SW1V 1LQ
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,West Sussex County Council,2000035663,ATF4E Second Intallment," £1,014,000.00 ",PO19 1RG
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000032975,#," £1,009,169.58 ",REDACTED
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,HAMPSHIRE COUNTY COUNCIL,2000035535,Capability Fund 24/25," £1,004,836.00 ",SO23 8UB
Department for Transport,Department for Transport,05/03/2024,IT Ser Running Costs,DG Roads and Local Group,Ito World Limited,2000032878,#," £1,000,000.00 ",CB4 0GA
Department for Transport,Active Travel England,20/03/2024,CurrGrtPriSec-P&NPIS,National Cycling and Walking,Living Streets,2000034723,Living Streets Outreach Grant," £1,000,000.00 ",EC3N 2LU
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",NEWCASTLE CITY COUNCIL,2000035179,CAZ NO2 CAF Sheffield and Newcastle #3m," £1,000,000.00 ",NE1 8QH
Department For Transport,National Highways,25/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,ENGLISH HERITAGE,956344,Cultural Heritage," £1,000,000.00 ",SN2 2EH
Department for Transport,Department for Transport,13/03/2024,Research,"DG Aviation, Maritime and Security",INNOVATE UK,2000033874,#," £992,043.74 ",SN2 1UE
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LONDON BOROUGH OF HOUNSLOW,2000035019,LEVI Capital fund : LbHounslow  90% payment," £991,800.00 ",TW3 4DN
Department for Transport,DVSA,12/03/2024,THEORY TEST VARIABLE CHARGE,THEORY TEST REGION A,REED IN PARTNERSHIP LTD,5100009332,REGION A CHARGES FOR FEBRUARY 2024," £991,141.36 ",#
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033002,#," £987,498.99 ",REDACTED
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,South Yorkshire Mayoral,2000035649,Capability Fund 24/25," £981,957.00 ",S1 2BQ
Department for Transport,Active Travel England,12/03/2024,CurrGrtOth to NDPBs,Bikeability (National Cycling),THE BIKEABILITY TRUST,2000033786,Bikeability Scale Up Projects," £975,475.00 ",CB2 1SD
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,Cambridgeshire and Peterborough,2000035633,Capability Fund 24/25," £961,200.00 ",PE29 3TN
Department For Transport,National Highways,28/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,ROADLINK (A69) LTD,957259,Operate Roads PFI Service Payments," £958,734.37 ",NE43 7TN
Department for Transport,DVSA,12/03/2024,THEORY TEST VARIABLE CHARGE,THEORY TEST REGION C,REED IN PARTNERSHIP LTD,5100009334,REGION C CHARGES FOR FEBRUARY 2024," £953,570.20 ",#
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AGGREGATE INDUSTRIES UK LTD,954102,Renewals of Roads," £943,845.08 ",LE67 1TL
Department For Transport,National Highways,22/03/2024,TA Cost AUC – Non SRN,LOWER THAMES CROSSING DIR,PORT OF TILBURY LONDON LIMITED,LOMD302855,RIS 2 Schemes," £942,536.26 ",RM18 7EH
Department For Transport,National Highways,21/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9133321459202165,Renewals of Roads," £937,514.23 ",M50 3XP
Department For Transport,National Highways,04/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,FMG SUPPORT (RRRM) LTD,951803,Customer Operations Traffic Management," £922,518.04 ",HD2 1GZ
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,KIER HIGHWAYS LIMITED,952630,RIS 2 Schemes," £912,078.42 ",SG19 2BD
Department For Transport,National Highways,08/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT A50 LIMITED,952598,Operate Roads PFI Service Payments," £911,243.90 ",NW1 3AX
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",BEDFORD BOROUGH COUNCIL,2000034372,LEVI Capital fund :   Bedford 90% payment," £909,000.00 ",MK42 9AP
Department for Transport,Department for Transport,20/03/2024,CurrGrt Las in AEF/A,DG High Speed Rail Group,CHESHIRE EAST COUNCIL,2000034743,High Speed Rail Integration-Cheshire East Council," £901,000.00 ",CW1 2JZ
Department For Transport,National Highways,18/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,953914,Renewals of Structures," £900,293.00 ",M50 3XP
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,STAFFORDSHIRE COUNTY COUNCIL,2000035593,ATF4E First Intallment," £900,000.00 ",ST16 2DH
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000032966,#," £897,130.76 ",REDACTED
Department for Transport,High Speed Two (HS2) Limited,13/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY SYSTEM OPERATOR LIMITED,#,GSP's Berkswell," £884,681.46 ",#
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,LEICESTERSHIRE COUNTY COUNCIL,2000035558,ATF4E First Intallment," £883,768.00 ",LE3 8RB
Department For Transport,National Highways,25/03/2024,CM - Third Party Damage,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8720011746756433r,Routine Maintenance," £883,607.77 ",EN1 1TH
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,LANCASHIRE COUNTY COUNCIL,2000035539,Capability Fund 24/25," £883,240.00 ",PR1 0LD
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,AUC - Phase 1,AUC - 000000,Hitachi Rail Ltd,#,Manufacture and Supply Agreement for Conventional Compatible High Speed Trains - remainder contract value," £881,454.00 ",#
Department for Transport,Driver & Vehicle Licensing Agency,25/03/2024,Non Stock Machine Consumables,Operations,Thales DIS UK Ltd,2000034284,#," £879,120.00 ",PO15 5RX
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,COWI A/S ARCADIS CH2M JV,953193,RIS 2 Schemes," £877,950.51 ",W6 7EF
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,EAST SUSSEX COUNTY COUNCIL,2000033870,Safer Roads Fund Capital Grant," £875,000.00 ",BN7 1UE
Department For Transport,National Highways,13/03/2024,Contractor Costs,FINANCE & BUSINESS SERVICES,Conduent Public Sector UK Limited,953320,Protocol Dart Charge," £873,971.91 ",WC2H 9JQ
Department for Transport,Department for Transport,13/03/2024,Support Services,DG Corporate Delivery Group,CRAWFORD & CO ADJUSTERS (UK) LTD,2000033908,#," £872,555.68 ",B2 2PF
Department for Transport,Department for Transport,18/03/2024,IT Consultancy,DG Roads and Local Group,KPMG UK LLP,2000034364,#," £870,000.00 ",E14 5GL
Department for Transport,Department for Transport,27/03/2024,Capital Subs To Tocs,DG Rail Strategy and Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000035829,P2501 Wk4 2024.P12 GTR_NRC_PCPJCapex - GOVIA THAME," £867,695.75 ",EC3R 8AJ
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Amey Highways Ltd,CONF9076719443519866,Renewals of Roads," £865,083.26 ",CB25 9PG
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HANSON CONTRACTING,954390,Renewals of Roads," £863,326.75 ",SL6 4JJ
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,VOLKERFITZPATRICK LIMITED,954316,RIS 1 Schemes," £861,690.69 ",EN11 9BX
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,SURREY COUNTY COUNCIL,2000035551,Capability Fund 24/25," £861,504.00 ",KT1 2DN
Department For Transport,Maritime and Coastguard Agency,12/03/2024,Information Technology (Owned) - Cost - Additions,Radio Network Infrastructure Replacement Programme,telent Technology Services Ltd,233134640,RNIR134 St Abbs Crosslaw (M134)," £859,446.19 ",CV34 5AH
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,HERTFORDSHIRE COUNTY COUNCIL,2000035536,Capability Fund 24/25," £857,934.00 ",SG13 8DN
Department For Transport,National Highways,26/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CONNECT M1-A1 LTD,956684,Renewals of Roads," £839,137.98 ",NW1 3AX
Department For Transport,National Highways,04/03/2024,Contractor Costs,FINANCE & BUSINESS SERVICES,Conduent Public Sector UK Limited,951843,Protocol Dart Charge," £835,713.78 ",WC2H 9JQ
Department for Transport,Department for Transport,28/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",WEST MIDLANDS COMBINED AUTHORITY,2000036113,"""LEVI CF: West MidsCA 23/24 - #834,620"""," £834,620.00 ",B19 3SD
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",NORTH LINCOLNSHIRE COUNTY COUNCIL,2000035051,LEVI Capital fund North Lincolnshire: 90% payment," £832,500.00 ",DN15 6NL
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AGGREGATE INDUSTRIES UK LTD,954437,Renewals of Roads," £824,651.28 ",LE67 1TL
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,John Sisk & Son Limited,954310,Renewals of Roads," £823,660.10 ",AL2 2DD
Department for Transport,Department for Transport,27/03/2024,Capital Subs To Tocs,DG Rail Strategy and Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000035829,P2501 Wk4 2025.P1 GTR_NRC_PCPCapex - PAYMENT ON AC," £821,479.36 ",EC3R 8AJ
Department for Transport,Driver & Vehicle Licensing Agency,25/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000032567,#," £817,316.80 ",SL1 4LZ
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,EAST RIDING OF YORKSHIRE COUNCIL,2000035585,ATF4E First Intallment," £806,461.00 ",HU17 9BA
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,CHESHIRE EAST COUNCIL,2000034743,MRN LLM Grants 2023/24," £803,550.00 ",CW1 2JZ
Department for Transport,Department for Transport,14/03/2024,Transport  Consult,DG Roads and Local Group,WSP UK LTD T/A PARSONS BRINCKERHOFF,2000034052,#," £800,000.00 ",RG21 4HJ
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",ROYAL BOROUGH OF KINGSTON,2000035193,LEVI Capital fund :  LB of Kingston 90% payment," £797,400.00 ",KT1 1EU
Department for Transport,Driver & Vehicle Licensing Agency,18/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000031911,#," £796,089.52 ",SL1 4LZ
Department for Transport,Department for Transport,14/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",Vauxhall Motors Limited,2000034069,"""PIVG Vauxhall  Feb 2024 #792,132.87"""," £792,132.87 ",CV3 1ND
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,952628,RIS 2 Schemes," £789,917.28 ",SW1V 1LQ
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,HUNTINGDONSHIRE DISTRICT COUNCIL,953541,Communities," £786,427.19 ",PE29 3TN
Department For Transport,National Highways,11/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",MANNING GOTTLIEB,952817,Corporate Support Other," £786,221.57 ",N1 9RL
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",READING BOROUGH COUNCIL,2000035066,LEVI Capital fund :  Reading 90% payment," £779,400.00 ",RG1 2LU
Department for Transport,DVSA,19/03/2024,COMPUTER EQUIPMENT SERVICE CHARGE,PHOENIX BUS TRF & DEL,KAINOS SOFTWARE LIMITED,5100009544,RAD MS DYNAMICS CAPABILITY," £773,136.32 ",#
Department For Transport,National Highways,21/03/2024,CM - Compensation / Variation Costs,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260003549169980,Routine Maintenance," £772,557.40 ",B37 7YB
Department for Transport,British Transport Police,21/03/2024,Pensions Contribution,Force Balance Sheet (Excl.Far),Railway Pensions Management Ltd,571861,Pensions Contribution," £770,928.28 ",EC2A 2NY
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",NORTH SOMERSET COUNCIL,2000034352,LEVI Capital fund :   North Somerset 90% payment," £765,900.00 ",BS23 1UJ
Department for Transport,Driver & Vehicle Licensing Agency,11/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000030895,#," £765,583.53 ",SL1 4LZ
Department for Transport,High Speed Two (HS2) Limited,06/03/2024,AUC - Phase 1,AUC - 000000,FCC RECYCLING (UK) LIMITED,#,FCC- Business Continuity and Business relocation agreements," £763,709.69 ",#
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033010,#," £761,872.62 ",REDACTED
Department for Transport,Department for Transport,27/03/2024,Capital Subs To Tocs,DG Rail Strategy and Services Group,FIRST MTR SOUTH WESTERN TRAINS LTD,2000035844,P2501 Wk4 2025.P1 SWR_NRC_PCPCapex (Payment on acc," £760,578.37 ",W2 6LG
Department for Transport,Department for Transport,21/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",RENAULT,2000035031,"""PIVG Renualt February  2024 #760,000.00"""," £760,000.00 ",WD3 9YS
Department for Transport,Department for Transport,14/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000034026,#," £759,324.14 ",REDACTED
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HANSON CONTRACTING,954451,Renewals of Roads," £758,618.73 ",SL6 4JJ
Department For Transport,National Highways,18/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN MOTT MACDONALD JV,953866,Feasibility," £752,510.14 ",SL6 4UB
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,WORCESTERSHIRE COUNTY COUNCIL,2000035561,ATF4E Second Intallment," £748,899.00 ",WR5 2NP
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Fish Brothers Kia (Swindon) Limited,957370,Customer Operations Traffic Management," £748,569.52 ",SN5 7UR
Department for Transport,Department for Transport,15/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Strategy and Services Group,MUSCULAR DYSTROPHY UK,2000034224,"""Muscular Distrophy UK - #745,766"""," £745,766.00 ",SE1 0BU
Department For Transport,National Highways,08/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT A30/A35 LTD,952687,Operate Roads PFI Service Payments," £743,971.81 ",NW1 3AX
Department For Transport,National Highways,25/03/2024,Contractor Costs,DIGITAL SERVICES,Core Control Solutions Limited,956288,Corporate Support Services," £739,533.00 ",DE7 4QW
Department for Transport,Department for Transport,26/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,SOMERSET COUNTY COUNCIL,2000035550,Bus Transformation Fund (RDEL) - #11.741m," £737,079.00 ",TA1 4DY
Department For Transport,National Highways,13/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES t/a AGC Services,953254,Renewals of Roads," £736,418.52 ",LS15 8ZB
Department for Transport,British Transport Police,21/03/2024,Pensions Contribution,Force Balance Sheet (Excl.Far),Railway Pensions Management Ltd,571860,Pensions Contribution," £735,986.67 ",EC2A 2NY
Department for Transport,High Speed Two (HS2) Limited,04/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,NW&C Asset Protection Services NR - Services till March 2024," £735,757.20 ",#
Department for Transport,High Speed Two (HS2) Limited,04/03/2024,Professional Services,200000 - L&P 102 Balance Sheet,DELOITTE LLP,#,Value Management Programme and Cost Remediation Plan to 7th June 2024," £731,088.00 ",#
Department for Transport,Department for Transport,18/03/2024,Grt Aid to NDPBs,DG Rail Strategy and Services Group,RAIL PASSENGER COUNCIL,2000034349,Transport Focus Rail GIA March," £730,000.00 ",M1 2WD
Department for Transport,Department for Transport,27/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",WEST YORKSHIRE COMBINED AUTHORITY,2000035823,LEVI Capability fund: WestYorks 23/24/25 - #726269," £726,269.00 ",LS1 2DE
Department for Transport,Department for Transport,27/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,WEST MIDLANDS TRAINS,2000035848,P2501 Wk4 2024.P12 NRC_PCPJ Cost_P2412 - West Midl," £724,936.58 ",B4 6GA
Department For Transport,National Highways,25/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,TARMAC TRADING LIMITED,956252,Renewals of Roads," £724,112.95 ",B37 7BQ
Department for Transport,Department for Transport,06/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Strategy and Services Group,AGILITY TRAINS WEST LIMITED,2000033133,IEP Variation  VN033," £721,190.16 ",EC2R 7DA
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,General Es,P40033 - Civils and Services - Commercial,LONDON BOROUGH OF CAMDEN,#,London Borough of Camden - Service Level Agreement.," £720,673.00 ",#
Department for Transport,Driver & Vehicle Licensing Agency,25/03/2024,Services provided by OGDs,Operations,VOSA,2000034298,#," £720,000.00 ",SA1 8AN
Department For Transport,National Highways,27/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,MCKINSEY & COMPANY,956908,Operate General Management Costs," £715,548.58 ",SW1Y 4UH
Department For Transport,National Highways,11/03/2024,TA Cost AUC – Non SRN,MAJOR PROJECTS,Gowling WLG (UK) LLP 2022/2027 (TR140),LOMD302646,Feasibility," £715,306.58 ",SE1 2AU
Department for Transport,Department for Transport,26/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,WORCESTERSHIRE COUNTY COUNCIL,2000035561,Bus Transformation Fund (RDEL) - #11.741m," £714,843.00 ",WR5 2NP
